глагол,общая_частота
projahati,15
naslediti,15
obratno,15
zasjati,15
saznavati,15
bezbrižno,15
tapšati,15
zapasti,15
strepeti,15
obrnuto,15
razočarati,15
naknadno,15
rukovoditi,15
pričinjavati,15
provući,15
blesnuti,15
sročiti,15
češati,15
popuštati,15
žvatati,15
uvijati,15
predosećati,15
darivati,15
stiditi,15
čučati,15
sušiti,15
nabiti,15
sjajno,15
poštedeti,15
tobože,15
nalik,15
iščekivati,15
zaljuljati,15
proleteti,15
nasmešiti,15
poricati,15
odrasti,15
sisati,15
zaslužiti,15
besneti,15
živnuti,15
tresnuti,15
iščupati,15
nameštati,15
mučno,15
latiti,15
lukavo,15
hoditi,15
tajno,15
lepršati,15
uključiti,15
izmešati,15
motriti,15
grozničavo,15
zarađivati,15
upozoravati,15
oporaviti,15
pohvaliti,15
žestoko,15
razaznati,15
užurbano,15
provlačiti,15
zamirisati,15
zaudarati,15
buknuti,15
trajno,14
udeti,14
neumorno,14
onde,14
podsticati,14
vrebati,14
sastajati,14
probosti,14
spašavati,14
uzajamno,14
opadati,14
prodorno,14
olizati,14
izbrojati,14
godišnje,14
umivati,14
izuti,14
upuštati,14
izdahnuti,14
opširno,14
crveneti,14
pojavisati,14
protestovati,14
otisnuti,14
odazivati,14
iskakati,14
otresati,14
proceniti,14
nataknuti,14
izbledeti,14
obrukati,14
brati,14
nagnati,14
premoriti,14
izmenjati,14
prositi,14
postrojiti,14
istupiti,14
razbesneti,14
trknuti,14
ošamutiti,14
obasjavati,14
kotrljati,14
potisnuti,14
ograničiti,14
postupiti,14
opasti,14
spasiti,14
udriti,14
zakopati,14
metnuti,14
zaboleti,14
sricati,14
razoriti,14
doleteti,14
upola,14
izmicati,14
užasnuti,14
cediti,14
dodeliti,14
tužiti,14
iznajmiti,14
besplatno,14
otrgnuti,14
tugovati,14
nahraniti,14
zamarati,14
sjahati,14
pobrkati,14
silom,14
ojačati,14
kikotati,14
suprotno,14
ubuduće,14
ređati,14
uložiti,14
zabavljati,14
udisati,14
doručkovati,14
pocepati,14
obrazovati,14
prigušiti,14
srditi,14
nagađati,14
primaći,14
ugristi,14
opipati,14
zadremati,14
promašiti,14
pristupiti,14
bučno,14
presvući,14
pregaziti,14
promukati,14
veseliti,14
sagnuti,14
odskočiti,14
spasavati,14
pravdati,14
nejasno,14
ložiti,14
sleteti,14
stariti,13
nigdje,13
molećivo,13
vodoravno,13
iskati,13
prošaputati,13
izmenjivati,13
razvezati,13
trepnuti,13
zadavati,13
zamoriti,13
smanjivati,13
pomesti,13
