глагол,общая_частота
sjediniti,149
čestići,148
žrtvovati,148
zeleti,148
mimo,148
pristajati,148
obilježiti,148
rastiti,147
zaljubiti,147
ispoljiti,147
opuštati,147
prebroditi,147
podučavati,147
nadmašiti,147
interpretirati,146
osvežiti,146
zadobiti,146
crtati,146
proučiti,146
dodijeliti,146
postaniti,146
smisliti,145
pospešiti,145
crveniti,145
naseljavati,144
kaći,144
probavati,144
zaokružiti,144
smiriti,144
pritisnuti,143
ohladiti,143
oslabiti,143
nagrađivati,143
ostaniti,143
prerađivati,143
pristizati,143
posvesti,142
brineti,142
vrtiti,142
korigovati,142
redukovati,142
letiti,142
osporiti,142
odlagati,142
izostajati,141
pobeđivati,141
podnijeti,141
okupirati,141
skloniti,141
edukovati,141
teretiti,140
utjetiti,140
izbriseti,140
počniti,140
davetiti,139
narasti,139
opredeti,139
sečeti,139
kliknuti,139
ispitivati,139
vilati,138
školivati,138
doseći,138
smetati,138
rasporediti,138
odmarati,138
upariti,138
preskočiti,138
uvažiti,137
porazgovarati,137
kružiti,137
izlečiti,137
podela,136
provera,136
biciti,136
uštediti,136
reagirati,136
graničiti,136
doživjeti,136
ispuštati,136
uzgajati,136
piseti,135
nađati,135
razrešiti,135
svideti,135
posjećivati,135
profitirati,134
hidrocentrati,134
zagrevati,134
manipulisati,134
dodirivati,134
postigneti,134
rastati,134
primorati,134
pripisati,134
poentirati,134
stićiti,133
podstići,133
stabilizovati,132
masagati,132
sufinansirati,132
kriviti,132
mirisati,132
hoteti,131
filtrirati,131
podudarati,131
glas,131
uporabiti,131
strahovati,130
ceneti,130
nagovestiti,130
saopštvavati,130
diskriminisati,130
isplanirati,130
maći,130
požeti,130
vaditi,129
sudjelivati,129
uzmetiti,129
iznedriti,128
vučiti,128
preplitati,128
odstupati,128
priključivati,128
širok,127
zastati,127
nadovezovati,127
podsjetiti,127
zaposti,127
seliti,126
približati,126
medjutiti,126
verifikovati,126
pobegniti,126
dodjeljivati,126
preispitivati,125
zainteresovati,125
rivasti,125
vrijediti,125
reciti,125
zahvatati,125
okarakterisati,124
slikati,124
primeti,124
zloupotrebiti,124
skiniti,123
ulepšati,123
vidiš,123
preusmeriti,123
presuditi,123
pomoziti,122
resetirati,122
dočarati,122
prikrivati,122
dogovarati,122
vretati,122
darovati,122
portfoliti,122
mrziti,122
upijati,122
dodirneti,122
rangirati,122
izjašnjavati,121
značati,121
upoređivati,121
kontrolirati,121
predstavlјa,121
sretiti,121
topasti,121
uvoziti,121
mobilisati,121
pojesti,121
zakažiti,120
svratiti,120
koordinisati,120
zvučati,120
zatrebati,120
ugasti,119
promišljati,119
edukivati,119
obavijestiti,119
primoravati,119
nazoviti,119
odvoditi,119
lažiti,119
istrajati,119
smirovati,119
ispisivati,119
favorizovati,118
lokati,118
konvertovati,118
spati,118
zapaliti,118
spojati,118
pošlati,118
postarati,118
preživljavati,118
obračunati,118
ponesiti,117
rezervišeti,117
adaptirati,117
rezultovati,117
percipirati,117
prokomentarisati,117
ujedinjivati,117
obnova,117
briniti,117
cijeti,117
trčiti,116
prostiti,116
dospevati,116
upiti,116
veseti,116
demantovati,116
izjavljivati,116
ratovati,116
propadati,115
izračunavati,115
premestiti,115
evoluirati,115
izdržavati,115
zaključati,115
izbijati,115
zakazivati,115
stremiti,115
protumačiti,115
rukovati,115
udaljiti,114
izbjegavati,114
doputovati,114
prilagati,114
nađiti,114
raspitati,114
otkucati,114
izgrađivati,114
posviti,113
zadužiti,113
preostajati,113
učestovati,113
zimati,113
napajati,113
modifikovati,113
prožimati,113
probijati,113
preovladavati,113
vežiti,112
uskraćivati,112
ukrasiti,112
automatizovati,112
navesiti,112
klasifikovati,112
probiti,112
popiti,112
osnaživati,112
stopati,112
dosegnuti,112
otati,112
dopunjavati,112
zauziti,111
unaprijediti,111
oklevati,111
preraditi,111
skladišti,111
rotirati,111
zlostavljati,111
koncentrisati,111
zabrana,111
ceti,111
specijalizovati,111
pojašnjavati,111
implicirati,111
žuriti,111
preokrenuti,111
provjeravati,110
turnir,110
nadmetati,110
odrastati,110
prostirati,110
pretočiti,110
popivati,110
prevariti,110
naseliti,110
preduprediti,110
gajiti,110
zapasti,110
grešiti,110
šaliti,109
artikulisati,109
nadograđivati,109
premostiti,109
osvesti,109
otklanjati,109
oštećivati,108
glumiti,108
uplašiti,108
izbacovati,108
ukagati,108
ćuti,108
poricati,108
izmisliti,108
podigniti,108
pokažiti,108
pomeneti,107
zakoračiti,107
smesti,107
stanovati,107
izjednačiti,107
sreti,107
pobriniti,107
ljutiti,107
juriti,107
tranzitirati,107
izglasati,107
oporavljati,107
iphoniti,106
definirati,106
snižavati,106
raširiti,106
normalizovati,106
migrirati,106
podrivati,106
umešati,106
pritisneti,106
lagati,106
protećati,105
kamoliti,105
podstakniti,105
pokvariti,105
uslijediti,105
uznemiravati,105
osušiti,105
osvetliti,105
preovlađivati,105
duvati,105
opsluživati,104
simulirati,104
nadahnuti,104
upititi,104
sanirati,104
slomiti,104
str.n,104
pogotovati,104
osmišljavati,103
uviđati,103
uciniti,103
naručivati,103
školovati,103
jeseti,103
pribavljati,103
jačiti,103
obezbedjivati,103
zagrejati,103
eksploatisati,103
povestiti,103
dopirati,102
usprotiviti,102
iznenađivati,101
učitati,101
skreneti,101
uvjeriti,101
raspoređivati,101
pohraniti,101
zabilježiti,101
kulminirati,101
trčati,101
eksperimentisati,100
patiti,100
pijati,100
navršiti,100
kreniti,100
ubacovati,100
usuđivati,100
