base_verb,prefixed_verb,prefix,freq_base,freq_base,freq_prefixed,freq_prefixed
općiti,uopćiti,u,6,13,86,88
jahati,odjahati,od,568,3976,86,86
jecati,zajecati,za,244,245,86,86
taknuti,nataknuti,na,65,195,85,85
metati,premetati,pre,125,1376,85,85
snivati,zasnivati,za,41,42,85,299
listati,prelistati,pre,100,311,85,88
veseliti,razveseliti,raz,254,509,85,87
roditi,izroditi,iz,1917,5817,85,94
manjiti,umanjiti,u,232,232,85,137
leteti,odleteti,od,242,2665,85,90
točiti,zatočiti,za,52,157,84,84
buniti,uzbuniti,uz,302,913,84,85
topiti,natopiti,na,216,663,84,86
teći,priteći,pri,826,5048,84,90
likovati,nalikovati,na,133,665,84,92
kriviti,nakriviti,na,343,703,84,84
dragati,razdragati,raz,350,353,84,84
govoriti,ugovoriti,u,13834,139978,83,106
dosećati,predosećati,pre,18,36,83,84
