word,frequency
прикрити,13
лепити,13
укрцати,13
подржавати,13
блистати,13
откинути,13
завести,13
драго,13
puno,13
neprestano,13
blago,13
drukčije,13
починити,13
старити,13
нигдје,13
истерати,13
миловати,13
делимично,13
привидно,13
протезати,13
састајати,13
поуздано,13
неумољиво,13
горјети,13
болно,13
загрејати,13
приковати,13
додадити,13
пробости,13
ступати,13
невидљиво,13
изневерити,13
обазрети,13
пројахати,13
спашавати,13
поступати,13
узајамно,13
уздисати,13
наследити,13
опадати,13
обратно,13
бех,13
zasada,13
nikuda,13
užasno,13
unutra,13
ponešto,13
nešto,13
prodorno,13
molećivo,13
сазнавати,13
олизати,13
водоравно,13
прислонити,12
тужно,12
коштати,12
покорити,12
ућутати,12
искати,12
избројати,12
обављати,12
годишње,12
немогуће,12
широко,12
дуговати,12
умивати,12
прошапутати,12
глатко,12
разлегати,12
смешно,12
муњевито,12
допријети,12
гребати,12
безбрижно,12
Немо,12
састати,12
пријавити,12
ликовати,12
изути,12
измењивати,12
развезати,12
закуцати,12
дејствовати,12
упуштати,12
икада,12
пожелети,12
трепнути,12
залепити,12
севати,12
навраћати,12
јецати,12
наговорити,12
задавати,12
дотерати,12
наопако,12
претио,12
милити,12
докопати,12
осигурати,12
заморити,12
повећавати,12
оградити,12
улетети,12
поломити,12
исписивати,12
смањивати,12
тапшати,12
пропадати,12
досетити,12
претурити,12
срушити,12
додирнути,12
избезумити,12
nadolje,12
nehotice,12
neodlučno,12
ironično,12
помести,12
запасти,12
очистити,12
умакати,12
наступати,12
стрепети,12
одводити,12
сударати,12
противно,12
издахнути,12
опширно,12
испразнити,12
обрнуто,12
разочарати,12
садити,12
безобзирно,12
истински,12
исповедати,12
непомично,12
сложно,12
вајкати,12
ухапсити,12
оздравити,12
zapravo,12
листати,12
накнадно,12
оптужити,12
mračno,12
набављати,12
žurno,12
široko,12
unaokolo,12
naime,12
nadmeno,12
odozdo,12
слегати,11
одахнути,11
отиснути,11
венчати,11
пословати,11
бесно,11
одазивати,11
посртати,11
разговетно,11
блеснути,11
наљутити,11
забацити,11
завући,11
дотрчати,11
искакати,11
разабирати,11
штампати,11
узвикивати,11
пренијети,11
отресати,11
окусити,11
срочити,11
трљати,11
улево,11
успоставити,11
обрисати,11
одјекнути,11
лоше,11
зачас,11
проценити,11
натакнути,11
урезати,11
свести,11
чешати,11
зовнути,11
представити,11
отерати,11
жртвовати,11
увећати,11
избледети,11
вриснути,11
обрукати,11
наградити,11
попуштати,11
зажелети,11
присетити,11
упропастити,11
стругати,11
просипати,11
опљачкати,11
значајно,11
залити,11
пуцкетати,11
раздвојити,11
шаптати,11
свађати,11
пристизати,11
зевати,11
нагледати,11
брати,11
опколити,11
опраштати,11
осипати,11
жватати,11
увијати,11
постигнути,11
посаветовати,11
скаменити,11
zlobno,11
izdaleka,11
najpre,11
zbilja,11
par,11
slobodno,11
srećno,11
напити,11
одузимати,11
простирати,11
нагнати,11
преморити,11
бдети,11
дозвати,11
већином,11
добивати,11
прочути,11
испољавати,11
дражити,11
отуд,11
укрштати,11
тржати,11
сачињавати,11
храбрити,11
олакшавати,11
запустити,11
обележавати,11
дотада,11
младо,11
уистину,11
измењати,11
напунити,11
остарети,11
даривати,11
стидити,11
просити,11
окупати,11
кушати,11
naglas,11
popreko,11
čujno,11
nipošto,11
malopre,11
doslovno,11
зазирати,11
гојити,11
светлуцати,10
снити,10
кад,10
употребљавати,10
узнемиравати,10
причекати,10
претресати,10
сијати,10
убрзати,10
тркнути,10
стиснути,10
чучати,10
усправити,10
отпремити,10
угушити,10
јекнути,10
ошамутити,10
започети,10
претпоставити,10
велити,10
израчунати,10
преузети,10
препоручивати,10
чисто,10
ватрено,10
принудити,10
нежно,10
испречити,10
обасјавати,10
котрљати,10
завирити,10
сушити,10
кладити,10
сменити,10
одмерити,10
славити,10
потиснути,10
брижљиво,10
поскакивати,10
дотакати,10
заливати,10
набити,10
забрањивати,10
отицати,10
звучати,10
поводити,10
сливати,10
проверавати,10
прснути,10
обилно,10
допадати,10
спојити,10
треперити,10
ограничити,10
махнути,10
дивити,10
поступити,10
слећи,10
гладити,10
насртати,10
савесно,10
оптеретити,10
сјајно,10
уперити,10
покрасти,10
надимати,10
натоварити,10
завијати,10
вређати,10
претпостављати,10
добацивати,10
вазда,10
одјурити,10
скувати,10
нагињати,10
наручити,10
болети,10
пријатељски,10
полудети,10
широм,10
опасти,10
ућуткати,10
купати,10
усећи,10
макар,10
вести,10
захватати,10
ионако,10
одбацивати,10
спасити,10
удрити,10
одоздо,10
поштедети,10
тобоже,10
nalik,10
napamet,10
neverovatno,10
makar,10
neprijateljski,10
pristojno,10
badava,10
grubo,10
širom,10
метати,10
погасити,10
закопати,10
метнути,10
осјећати,10
свитати,10
нарасти,10
ројити,10
порицати,10
одевати,10
заболети,10
постидити,10
касабало,10
допуњавати,10
одупирати,10
отровати,10
наложити,10
стишавати,10
разнети,10
заповедати,10
неосетно,10
избегнути,10
засновати,10
сустизати,10
поручивати,10
помицати,10
одрасти,10
мудро,10
срицати,10
уназад,10
дотад,10
навикавати,10
сабрати,10
наговарати,10
разорити,10
поштедити,10
распоредити,10
разумевати,10
уснити,10
засебно,10
