infinitive_latin,frequency,infinitive_latin_norm
напамет,31,napamet
вешто,31,vešto
zapaliti,31,zapaliti
dopadati,31,dopadati
mahati,31,mahati
slučajno,31,slučajno
досада,31,dosada
сакупити,31,sakupiti
другачије,31,drugačije
osvetliti,31,osvetliti
dohvatiti,31,dohvatiti
stizati,31,stizati
dospeti,31,dospeti
дрекнути,30,dreknuti
спадати,30,spadati
мерити,30,meriti
разабрати,30,razabrati
журити,30,žuriti
смирити,30,smiriti
проверити,30,proveriti
шалити,30,šaliti
посветити,30,posvetiti
ћутјети,30,ćutjeti
избијати,30,izbijati
назирати,30,nazirati
употребити,30,upotrebiti
zahvaljivati,30,zahvaljivati
sakriti,30,sakriti
požuriti,30,požuriti
vladati,30,vladati
povesti,30,povesti
spaziti,30,spaziti
hajdemo,30,hajdemo
dići,30,dići
konačno,30,konačno
zauvek,30,zauvek
donijeti,30,donijeti
načiniti,30,načiniti
неприметно,30,neprimetno
забележити,30,zabeležiti
nazivati,30,nazivati
ljubazno,30,ljubazno
nedavno,30,nedavno
nastati,30,nastati
seći,30,seći
umalo,30,umalo
допустити,29,dopustiti
гурнути,29,gurnuti
важити,29,važiti
раширити,29,raširiti
тренутно,29,trenutno
предложити,29,predložiti
увредити,29,uvrediti
захтевати,29,zahtevati
грдити,29,grditi
упорно,29,uporno
захваљивати,29,zahvaljivati
напола,29,napola
изводити,29,izvoditi
попети,29,popeti
љубити,29,ljubiti
понашати,29,ponašati
хвалити,29,hvaliti
трептати,29,treptati
искрено,29,iskreno
