base_verb,prefixed_verb,prefix,freq_base,freq_prefixed,,prefix,base_verb
dahnuti,izdahnuti,iz,4902,112,,,šuškati
valiti,izvaliti,iz,4710,158,,,pućiti
pustiti,zapustiti,za,4710,19,,,ćuliti
uzeti,izuzeti,iz,4624,205,,,broditi
ostati,zaostati,za,4624,36,,,dejstvovati
mrsiti,zamrsiti,za,4595,1061,,,gajiti
padati,zapadati,za,4595,183,,,rvati
biti,zabiti,za,4595,139,,,migoljiti
drhtati,uzdrhtati,uz,4595,145,,,dobijati
udarati,odudarati,od,4595,45,,,piljiti
kopati,dokopati,do,4595,32,,,kaljati
noćiti,prenoćiti,pre,4595,33,,,crveneti
krstiti,ukrstiti,u,4573,5982,,,rubiti
viriti,zaviriti,za,4573,53,,,vozati
metati,razmetati,raz,4563,3774,,,množiti
pušiti,zapušiti,za,4523,100,,,traćiti
poručivati,preporučivati,pre,4523,81,,,glačati
braniti,odbraniti,od,4523,50,,,urediti
goreti,izgoreti,iz,4523,44,,,teturati
ostati,izostati,iz,4523,16,,,smetati
zvati,prizvati,pri,4523,16,,,vežbati
vesti,razvesti,raz,4523,11,,,minirati
gledati,nadgledati,nad,4490,282,,,borati
terati,preterati,pre,4490,61,,,bujati
vratiti,navratiti,na,4490,421,,,parati
izvesti,proizvesti,pro,4490,23,,,ploviti
nervirati,iznervirati,iz,4437,177,,,glumiti
kasniti,zakasniti,za,4437,67,,,mititi
bacati,razbacati,raz,4437,34,,,trovati
likovati,oblikovati,ob,4437,26,,,rastati
micati,uzmicati,uz,4437,19,,,odati
gomilati,nagomilati,na,4437,20,,,kititi
snovati,zasnovati,za,4437,8,,,zepsti
viti,priviti,pri,4437,6,,,isticati
kazati,zakazati,za,4422,79,,,umreti
zvati,prozvati,pro,4401,27,,,maziti
prezati,naprezati,na,4328,116,,,kvasiti
manuti,obmanuti,ob,4328,88,,,bečiti
viditi,uviditi,u,4328,78,,,gnezditi
tajiti,pritajiti,pri,4328,70,,,sjetiti
birati,prebirati,pre,4328,50,,,suziti
gađati,nagađati,na,4328,42,,,sloviti
srnuti,nasrnuti,na,4328,8,,,kipiti
meriti,zameriti,za,4273,27,,,zbijati
tražiti,pretražiti,pre,4252,1407,,,pljeskati
uzimati,preuzimati,pre,4252,332,,,pakostiti
sititi,zasititi,za,4252,119,,,nišaniti
sipati,prosipati,pro,4252,143,,,stenjati
držati,pridržati,pri,4191,137,,,lupati
letiti,izletiti,iz,4191,137,,,krvaviti
važiti,odvažiti,od,4191,182,,,hrupiti
pretiti,zapretiti,za,4191,34,,,otkrivati
varati,zavarati,za,4105,50,,,obraćati
praviti,upraviti,u,4075,347,,,besniti
vezati,privezati,pri,4075,82,,,gospodariti
brusiti,odbrusiti,od,4075,23,,,sedati
liti,obliti,ob,4029,1622,,,razložiti
